"subject"	"activity"	"measurementMean"
"1"	1	"WALKING"	-0.319105810200331
"2"	1	"WALKING_UPSTAIRS"	-0.40699661814598
"3"	1	"WALKING_DOWNSTAIRS"	-0.297226292824001
"4"	1	"SITTING"	-0.633405230612481
"5"	1	"STANDING"	-0.647424789141436
"6"	1	"LAYING"	-0.607522391836014
"7"	2	"WALKING"	-0.385708093716054
"8"	2	"WALKING_UPSTAIRS"	-0.363983305102955
"9"	2	"WALKING_DOWNSTAIRS"	-0.259677293061387
"10"	2	"SITTING"	-0.640597914078914
"11"	2	"STANDING"	-0.636454993012462
"12"	2	"LAYING"	-0.639973837827844
"13"	3	"WALKING"	-0.386865862874514
"14"	3	"WALKING_UPSTAIRS"	-0.424274671811149
"15"	3	"WALKING_DOWNSTAIRS"	-0.350536138554404
"16"	3	"SITTING"	-0.622780836987975
"17"	3	"STANDING"	-0.626824657789309
"18"	3	"LAYING"	-0.641445804875381
"19"	4	"WALKING"	-0.43055661483918
"20"	4	"WALKING_UPSTAIRS"	-0.415260374462441
"21"	4	"WALKING_DOWNSTAIRS"	-0.363790441016887
"22"	4	"SITTING"	-0.627074988752137
"23"	4	"STANDING"	-0.618583772157932
"24"	4	"LAYING"	-0.630875080725603
"25"	5	"WALKING"	-0.378535121986988
"26"	5	"WALKING_UPSTAIRS"	-0.356353464901252
"27"	5	"WALKING_DOWNSTAIRS"	-0.296901580091929
"28"	5	"SITTING"	-0.627014833570021
"29"	5	"STANDING"	-0.618821537531601
"30"	5	"LAYING"	-0.631793505517319
"31"	6	"WALKING"	-0.337513362522582
"32"	6	"WALKING_UPSTAIRS"	-0.330642340129316
"33"	6	"WALKING_DOWNSTAIRS"	-0.198922424840441
"34"	6	"SITTING"	-0.625412957710496
"35"	6	"STANDING"	-0.629253160586122
"36"	6	"LAYING"	-0.619421431071453
"37"	7	"WALKING"	-0.306764482858546
"38"	7	"WALKING_UPSTAIRS"	-0.427408293255387
"39"	7	"WALKING_DOWNSTAIRS"	-0.317129508211319
"40"	7	"SITTING"	-0.628833138374792
"41"	7	"STANDING"	-0.63369010626409
"42"	7	"LAYING"	-0.628303269447471
"43"	8	"WALKING"	-0.299755499867352
"44"	8	"WALKING_UPSTAIRS"	-0.293377815632218
"45"	8	"WALKING_DOWNSTAIRS"	-0.19351985419359
"46"	8	"SITTING"	-0.637726458982249
"47"	8	"STANDING"	-0.639463722621354
"48"	8	"LAYING"	-0.627089533537997
"49"	9	"WALKING"	-0.37164660578822
"50"	9	"WALKING_UPSTAIRS"	-0.427075431896002
"51"	9	"WALKING_DOWNSTAIRS"	-0.313140747277053
"52"	9	"SITTING"	-0.627530823653232
"53"	9	"STANDING"	-0.633713631013694
"54"	9	"LAYING"	-0.628414047268328
"55"	10	"WALKING"	-0.327086776127028
"56"	10	"WALKING_UPSTAIRS"	-0.345652600356602
"57"	10	"WALKING_DOWNSTAIRS"	-0.263162073365728
"58"	10	"SITTING"	-0.640078551091241
"59"	10	"STANDING"	-0.630886542166037
"60"	10	"LAYING"	-0.633606314208568
"61"	11	"WALKING"	-0.431366510871248
"62"	11	"WALKING_UPSTAIRS"	-0.43527506672087
"63"	11	"WALKING_DOWNSTAIRS"	-0.348717448293558
"64"	11	"SITTING"	-0.636081608692102
"65"	11	"STANDING"	-0.648374467923916
"66"	11	"LAYING"	-0.643553031373099
"67"	12	"WALKING"	-0.355560155447154
"68"	12	"WALKING_UPSTAIRS"	-0.42179157558609
